ID long b ID_2 long_2 b_2 m_sep
b299_304_77146 350.029768 -2.460397 b299_104_4419 350.029784 -2.460397 0.05754690050650237
b299_616_48822 351.290231 -2.55961 b299_116_49020 351.290234 -2.559607 0.015265889171599873
b299_416_80880 351.300591 -2.451323 b299_116_1563 351.300592 -2.451319 0.014842381612054287
b299_616_1338 351.300583 -2.451332 b299_116_1563 351.300592 -2.451319 0.056904126728465565
b299_503_13097 350.190312 -2.113249 b299_203_12964 350.190313 -2.113258 0.03259911620632593
b299_513_36841 351.288098 -1.624223 b299_213_37766 351.288091 -1.624223 0.02518987511179581
b299_104_4419 350.029784 -2.460397 b299_304_77146 350.029768 -2.460397 0.05754690050650237
b299_412_44793 350.932119 -2.365509 b299_312_45732 350.932128 -2.365513 0.03543065993815083
b299_604_2340 350.36728 -2.455581 b299_404_75574 350.367277 -2.455594 0.04802776160184311
b299_606_5780 350.62018900000015 -1.909621 b299_406_92454 350.620198 -1.9096369999999998 0.06607839496489769
b299_312_45732 350.932128 -2.365513 b299_412_44793 350.932119 -2.365509 0.0354306599377774
b299_513_77813 351.317031 -1.719741 b299_414_2575 351.317036 -1.719744 0.02098447500015313
b299_614_5670 351.414817 -1.90981 b299_414_88197 351.414826 -1.909816 0.03892498036574326
b299_116_1563 351.300592 -2.451319 b299_416_80880 351.300591 -2.451323 0.014842381611881972
b299_616_1338 351.300583 -2.451332 b299_416_80880 351.300591 -2.451323 0.04333223598150585
b299_203_12964 350.190313 -2.113258 b299_503_13097 350.190312 -2.113249 0.032599116206869755
b299_414_2575 351.317036 -1.719744 b299_513_77813 351.317031 -1.719741 0.02098447500021068
b299_213_37766 351.288091 -1.624223 b299_513_36841 351.288098 -1.624223 0.02518987511179581
b299_404_75574 350.367277 -2.455594 b299_604_2340 350.36728 -2.455581 0.048027761600570484
b299_406_92454 350.620198 -1.909637 b299_606_5780 350.62018900000015 -1.909621 0.0660783949643638
b299_414_88197 351.414826 -1.909816 b299_614_5670 351.41481699999997 -1.9098099999999998 0.038924980194456095
b299_116_49020 351.290234 -2.559607 b299_616_48822 351.290231 -2.5596099999999997 0.0152658891722348
b299_116_1563 351.300592 -2.451319 b299_616_1338 351.300583 -2.451332 0.05690412672840549
b299_416_80880 351.300591 -2.451323 b299_616_1338 351.300583 -2.451332 0.0433322359815685
